Job démarré sur gnode4 à Wed Feb 11 12:30:26 CET 2026
Run main_expe
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p015__g0p005__ds0p01__dm0p01
  -> run QUBO_dim64_t0
     avg_score=-200.199997 | runtime=1.70s
  -> run QUBO_dim64_t1
     avg_score=-148.119995 | runtime=1.51s
  -> run QUBO_dim64_t2
     avg_score=-138.619995 | runtime=1.57s
  -> run QUBO_dim64_t3
     avg_score=-415.459991 | runtime=1.43s
  -> run QUBO_dim64_t4
     avg_score=-331.799988 | runtime=1.51s
  -> run QUBO_dim64_t5
     avg_score=-308.619995 | runtime=1.46s
  -> run QUBO_dim128_t0
     avg_score=-579.739990 | runtime=1.33s
  -> run QUBO_dim128_t1
     avg_score=-440.519989 | runtime=1.44s
  -> run QUBO_dim128_t2
     avg_score=-431.279999 | runtime=1.62s
  -> run QUBO_dim128_t3
     avg_score=-1191.920044 | runtime=1.44s
  -> run QUBO_dim128_t4
     avg_score=-936.099976 | runtime=1.59s
  -> run QUBO_dim128_t5
     avg_score=-906.619995 | runtime=1.61s
  -> run QUBO_dim256_t0
     avg_score=-1600.420044 | runtime=1.85s
  -> run QUBO_dim256_t1
     avg_score=-1276.319946 | runtime=1.86s
  -> run QUBO_dim256_t2
     avg_score=-1219.040039 | runtime=1.82s
  -> run QUBO_dim256_t3
     avg_score=-3230.040039 | runtime=1.77s
  -> run QUBO_dim256_t4
     avg_score=-2565.379883 | runtime=1.82s
  -> run QUBO_dim256_t5
     avg_score=-2535.959961 | runtime=1.62s
  -> run NK_dim128_t1
     avg_score=0.710177 | runtime=1.77s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.739018 | runtime=1.65s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.756827 | runtime=1.57s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.732501 | runtime=2.25s
  -> run NK_dim256_t1
     avg_score=0.707569 | runtime=2.08s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.734913 | runtime=1.97s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.747852 | runtime=2.14s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.706408 | runtime=2.82s
  -> run NK_dim64_t1
     avg_score=0.711598 | runtime=1.77s
  -> run NK_dim64_t2
     avg_score=0.743729 | runtime=1.58s
  -> run NK_dim64_t4
     avg_score=0.755204 | runtime=1.68s
  -> run NK_dim64_t8
     avg_score=0.740590 | runtime=2.01s
[CONFIG] krbf__advnormalizedfitness__M3__L8__eps0p015__g0p005__ds0p01__dm0p3
  -> run QUBO_dim64_t0
     avg_score=-200.880005 | runtime=1.70s
  -> run QUBO_dim64_t1
     avg_score=-149.600006 | runtime=1.64s
  -> run QUBO_dim64_t2
     avg_score=-137.699997 | runtime=1.71s
  -> run QUBO_dim64_t3
     avg_score=-419.059998 | runtime=1.69s
  -> run QUBO_dim64_t4
     avg_score=-327.359985 | runtime=1.52s
  -> run QUBO_dim64_t5
     avg_score=-309.679993 | runtime=1.64s
  -> run QUBO_dim128_t0
     avg_score=-576.299988 | runtime=1.58s
  -> run QUBO_dim128_t1
     avg_score=-440.459991 | runtime=1.67s
  -> run QUBO_dim128_t2
     avg_score=-426.779999 | runtime=1.63s
  -> run QUBO_dim128_t3
     avg_score=-1175.760010 | runtime=1.71s
  -> run QUBO_dim128_t4
     avg_score=-937.320007 | runtime=1.52s
  -> run QUBO_dim128_t5
     avg_score=-900.200012 | runtime=1.33s
  -> run QUBO_dim256_t0
     avg_score=-1585.699951 | runtime=1.80s
  -> run QUBO_dim256_t1
     avg_score=-1282.119995 | runtime=1.78s
  -> run QUBO_dim256_t2
     avg_score=-1201.739990 | runtime=1.71s
  -> run QUBO_dim256_t3
     avg_score=-3165.020020 | runtime=1.83s
  -> run QUBO_dim256_t4
     avg_score=-2585.679932 | runtime=1.60s
  -> run QUBO_dim256_t5
     avg_score=-2490.639893 | runtime=1.81s
  -> run NK_dim128_t1
     avg_score=0.710294 | runtime=1.57s
     -> TOP 1
  -> run NK_dim128_t2
     avg_score=0.737253 | runtime=1.54s
     -> TOP 1
  -> run NK_dim128_t4
     avg_score=0.755909 | runtime=1.71s
     -> TOP 1
  -> run NK_dim128_t8
     avg_score=0.720829 | runtime=1.99s
  -> run NK_dim256_t1
     avg_score=0.707208 | runtime=1.86s
     -> TOP 1
  -> run NK_dim256_t2
     avg_score=0.733918 | runtime=2.01s
     -> TOP 1
  -> run NK_dim256_t4
     avg_score=0.741130 | runtime=2.04s
     -> TOP 1
  -> run NK_dim256_t8
     avg_score=0.671458 | runtime=2.63s
  -> run NK_dim64_t1
     avg_score=0.711422 | runtime=1.62s
  -> run NK_dim64_t2
     avg_score=0.743953 | runtime=1.64s
  -> run NK_dim64_t4
     avg_score=0.753884 | runtime=1.70s
  -> run NK_dim64_t8
     avg_score=0.739140 | runtime=1.81s
